Tipo Fondo,Fondo Mutuo,Administradora,Fec. Inicio Operación,Moneda Cuota,Valor Cuota,Rentabilidad 2024,Rentabilidad 2023,Rentabilidad 2022,Rentabilidad 2021,Rentabilidad 2020,Rentabilidad 2019,Rentabilidad 2018,Rentabilidad 2017,Rentabilidad 2016,Rentabilidad 2015,Rentabilidad 2014,Patrimonio S/.,Partícipes N
Inst. Deuda Corto Plazo S/,SURA ULTRA CASH SOLES FONDOS SURA SAF,FONDOS SURA SAF,9/5/12,S/.,162.23,0.0487,0.0732,0.0462,0.0052,0.0156,0.0334,0.0303,0.0423,0.048,0.0419,0.0375,1695450597.76,2689.0
Inst. Deuda Corto Plazo $,BBVA CASH DOLARES CONTINENTAL FM,CONTINENTAL FM,2/12/08,$,121.61,0.0412,0.0442,0.0122,0.001,0.0071,0.0188,0.0149,0.0082,0.0035,0.0013,0.0009,3066297763.93,20795.0
Inst. Deuda Corto Plazo $,BBVA RENTA CORTO PLAZO $ CONTINENTAL FM,CONTINENTAL FM,16/06/2000,$,178.46,0.046,0.0465,0.0036,0.0021,0.0118,0.0238,0.0173,0.0123,0.0084,-0.0056,0.0012,884648596.87,3146.0
Inst. Deuda Corto Plazo $,CRED. CONSER. CORTO PLAZO $ CREDIFONDO SAF,CREDIFONDO SAF,18/02/2014,$,124.86,0.0466,0.0516,0.0145,0.0034,0.0241,0.0297,0.0166,0.0135,0.0114,0.0075,0.0038,1585227263.42,5724.0
Inst. Deuda Corto Plazo $,CRED. CONSERVADOR LIQUIDEZ $ CREDIFONDO SAF,CREDIFONDO SAF,6/5/99,$,187.6,0.0424,0.0483,0.0158,0.0028,0.0099,0.0219,0.0164,0.0088,0.0059,0.0043,0.0025,3562317607.6,15706.0
Inst. Deuda Corto Plazo $,DIVISO CONSERVADOR DOLARES DIVISO FONDOS SAF S.A.,DIVISO FONDOS SAF S.A.,19/03/2015,$,113.47,-0.0797,0.0536,0.0088,0.0293,0.0262,0.034,0.0222,0.0191,0.0264,-0.0098,,1890862.84,62.0
Inst. Deuda Corto Plazo $,FARO CORTO PLAZO DOLARES FARO CAPITAL SAFI,FARO CAPITAL SAFI,9/8/22,$,0.0,,,,,,,,,,,,7669415.66,25.0
Inst. Deuda Corto Plazo $,FARO CAPITAL SAFI-FARO CORTO PLAZO DOLARES SERIE A,FARO CAPITAL SAFI,9/8/22,$,106.0,0.0405,0.0089,0.0094,,,,,,,,,,1.0
Inst. Deuda Corto Plazo $,FARO CAPITAL SAFI-FARO CORTO PLAZO DOLARES SERIE B,FARO CAPITAL SAFI,9/8/22,$,109.81,0.0396,0.0448,0.0092,,,,,,,,,,24.0
Inst. Deuda Corto Plazo $,SF LIQUIDEZ $ SCOTIA FONDOS,SCOTIA FONDOS,31/01/2023,$,10.88,0.0395,0.0422,,,,,,,,,,2910674084.43,11569.0
Inst. Deuda Corto Plazo $,SURA CORTO PLAZO DOLARES FONDOS SURA SAF,FONDOS SURA SAF,31/08/2009,$,136.83,0.042,0.0482,0.0138,0.0065,0.0173,0.0311,0.0216,0.0165,0.0124,0.0052,0.0057,232476023.76,821.0
Inst. Deuda Corto Plazo $,SURA ULTRA CASH DOLARES FONDOS SURA SAF,FONDOS SURA SAF,19/07/2012,$,123.32,0.0418,0.0479,0.0149,0.0041,0.0116,0.025,0.0198,0.0117,0.0069,0.0031,0.0014,1240348954.53,2352.0
Flexible,BLUM BONOS GLOBALES FM BLUM SAF,BLUM SAF,25/03/2024,$,10.51,0.0497,,,,,,,,,,,78598682.24,18.0
Flexible,Blum Capital Global FM BLUM SAF,BLUM SAF,23/09/2022,$,0.0,,,,,,,,,,,,4740247.21,784.0
