fund_id,year,return
137,2014,
137,2015,
137,2016,
137,2017,
137,2018,
137,2019,
137,2020,
137,2021,
137,2022,
137,2023,
137,2024,0.0013
138,2014,
138,2015,
138,2016,
138,2017,
138,2018,
138,2019,
138,2020,
138,2021,
138,2022,
138,2023,
138,2024,0.0013
139,2014,
139,2015,
139,2016,
139,2017,
139,2018,-0.0046
139,2019,0.1227
139,2020,0.0879
139,2021,-0.0218
139,2022,-0.1081
139,2023,0.0595
139,2024,0.0167
140,2014,
140,2015,
140,2016,0.0624
140,2017,0.0649
140,2018,-0.0483
140,2019,0.102
140,2020,0.0607
140,2021,0.0027
140,2022,-0.1388
140,2023,0.0579
140,2024,0.0154
141,2014,
141,2015,
141,2016,0.0748
141,2017,0.1531
141,2018,-0.1068
141,2019,0.1816
141,2020,0.1012
141,2021,0.0824
141,2022,-0.1779
141,2023,0.1175
141,2024,0.0594
142,2014,0.0221
142,2015,-0.0206
142,2016,0.0865
142,2017,0.0583
142,2018,-0.0454
142,2019,0.1042
142,2020,0.0619
142,2021,-0.0117
142,2022,-0.1555
142,2023,0.0555
142,2024,0.0097
143,2014,-0.0156
143,2015,-0.1771
143,2016,0.273
143,2017,0.1407
143,2018,-0.0384
143,2019,0.0381
143,2020,0.0291
143,2021,-0.0573
143,2022,-0.2027
143,2023,0.0662
143,2024,0.0763
144,2014,-0.1583
144,2015,-0.2855
144,2016,0.0593
144,2017,0.1436
144,2018,-0.1483
144,2019,0.1015
144,2020,-0.0586
144,2021,-0.0882
144,2022,-0.0187
144,2023,0.2669
144,2024,-0.1695
145,2014,
145,2015,
145,2016,
145,2017,0.1515
145,2018,-0.1548
145,2019,0.2103
145,2020,0.2473
145,2021,-0.0437
145,2022,-0.1841
145,2023,0.0039
145,2024,0.0709
146,2014,
146,2015,
146,2016,
146,2017,0.1122
146,2018,-0.0293
146,2019,0.2928
146,2020,0.2882
146,2021,0.1873
146,2022,-0.3016
146,2023,0.3441
146,2024,0.1267
147,2014,
147,2015,
147,2016,
147,2017,0.0042
147,2018,-0.1207
147,2019,0.364
147,2020,0.1404
147,2021,0.2902
147,2022,-0.2655
147,2023,0.2146
147,2024,0.0821
148,2014,
148,2015,
148,2016,
148,2017,
148,2018,-0.0309
148,2019,0.147
148,2020,0.0406
148,2021,0.0127
148,2022,-0.1028
148,2023,0.0709
148,2024,0.0348
149,2014,
149,2015,
149,2016,
149,2017,0.0144
149,2018,-0.0101
149,2019,0.0624
149,2020,0.0066
149,2021,0.0616
149,2022,-0.0382
149,2023,0.1029
149,2024,0.0302
150,2014,
150,2015,
150,2016,
150,2017,0.0397
150,2018,-0.0235
150,2019,0.1245
150,2020,0.0363
150,2021,0.0227
150,2022,-0.0862
150,2023,0.1006
150,2024,0.0188
151,2014,0.0193
151,2015,-0.0638
151,2016,-0.0017
151,2017,0.0894
151,2018,-0.0415
151,2019,0.0863
151,2020,0.0387
151,2021,0.0973
151,2022,-0.094
151,2023,0.1372
151,2024,0.075
152,2014,-0.069
152,2015,-0.2186
152,2016,0.2272
152,2017,0.1234
152,2018,-0.086
152,2019,-0.0078
152,2020,0.0309
152,2021,0.0237
152,2022,-0.143
152,2023,0.0563
152,2024,-0.002
153,2014,-0.0425
153,2015,-0.1198
153,2016,0.0972
153,2017,0.0464
153,2018,-0.0519
153,2019,-0.0011
153,2020,0.0108
153,2021,-0.0039
153,2022,-0.0085
153,2023,0.0452
153,2024,0.0161
154,2014,
154,2015,
154,2016,
154,2017,
154,2018,
154,2019,
154,2020,0.0437
154,2021,0.1004
154,2022,-0.1451
154,2023,0.0823
154,2024,0.0225
155,2014,
155,2015,
155,2016,
155,2017,
155,2018,
155,2019,
155,2020,0.0447
155,2021,
155,2022,
155,2023,
155,2024,
156,2014,
156,2015,
156,2016,
156,2017,
156,2018,
156,2019,
156,2020,
156,2021,0.0591
156,2022,-0.3891
156,2023,0.3933
156,2024,0.208
157,2014,
157,2015,
157,2016,
157,2017,
157,2018,-0.11
157,2019,0.2859
157,2020,0.2114
157,2021,0.1894
157,2022,-0.3187
157,2023,0.1938
157,2024,0.0816
