bond_key,emisor,credit_rating_agency,risk_classification,risk
141,Total Servicios Financieros Empresa de Créditos S.A. (Antes Total Servicios Financieros Edpyme S.A.),pcr,pAA-,low
142,Los Portales S.A.,pcr,p2+,medium low
143,Los Portales S.A.,pcr,p2+,medium low
144,Los Portales S.A.,pcr,p2+,medium low
145,Los Portales S.A.,pcr,p1-,low
146,Luz del Sur S.A.A.,pcr,pAAA,low
147,Luz del Sur S.A.A.,pcr,pAAA,low
148,Luz del Sur S.A.A.,pcr,pAAA,low
149,Luz del Sur S.A.A.,pcr,pAAA,low
150,Luz del Sur S.A.A.,pcr,pAAA,low
151,Luz del Sur S.A.A.,pcr,pAAA,low
152,Luz del Sur S.A.A.,pcr,PAAA,low
153,Luz del Sur S.A.A.,pcr,pAAA,low
154,Luz del Sur S.A.A.,pcr,pAAA,low
155,Luz del Sur S.A.A.,pcr,p1+,low
156,Luz del Sur S.A.A.,pcr,p1+,low
157,Luz del Sur S.A.A.,pcr,p1+,low
