Reporte Valor Cuota,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Fecha y Hora de generaci󮺠12/11/2024 12:58:12 p.m.,,,,,,,,,,,,,,,,
Fondo: FONDO OPERATIVO,,,,,,,,,,,,,,,,
Fecha Inicio: 31 de Octubre del 2024,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Tipo Fondo,Fondo Mutuo,Administradora,Fec. Inicio Operación,Moneda Cuota,Valor Cuota,Variacion desde el Inicio del 2024,Rentabilidad(A) 2023,Rentabilidad(A) 2022,Rentabilidad(A) 2021,Rentabilidad(A) 2020,Rentabilidad(A) 2019,Patrimonio S/.,Patrimonio %,Partícipes N,Partícipes %,Inf. Atrasada
17 - Renta Mixta Balanceado Dólares,IF MIXTO BALANCEADO INTERFONDO,INTERFONDO,31/12/1995,$,68.7022,6.52%,12.57%,-0.22%,-3.88%,-3.22%,1.62%,"14,597,338.74",0.03%,639,0.13%,31/10/2024
17 - Renta Mixta Balanceado Dólares,SCOTIA FONDO MIXTO BALANCEADO SCOTIA FONDOS,SCOTIA FONDOS,17/04/2007,$,10.97375042,5.55%,9.94%,3.18%,-8.41%,-4.18%,2.68%,"4,363,668.35",0.01%,208,0.04%,31/10/2024
18 - Renta Mixta Moderado Soles,CRED. MODERADO VCS CREDIFONDO SAF,CREDIFONDO SAF,16/06/2008,S/.,159.313412,6.38%,8.81%,-0.02%,-2.47%,2.85%,3.95%,"10,077,538.21",0.02%,255,0.05%,31/10/2024
18 - Renta Mixta Moderado Soles,IF INVERSION FLEXIBLE INTERFONDO,INTERFONDO,30/10/2007,S/.,159.9152,7.96%,6.84%,0.86%,0.11%,1.25%,1.77%,"20,505,413.42",0.04%,408,0.08%,31/10/2024
19 - Renta Mixta Moderado Dólares,CRED. MODERADO CREDIFONDO SAF,CREDIFONDO SAF,14/09/2002,$,57.206311,4.36%,7.66%,-1.66%,-2.29%,0.21%,5.26%,"28,666,640.58",0.06%,409,0.08%,31/10/2024
22 - Inst. Deuda Mediano Plazo S/,BBVA RENTA MED. PLAZO S/. CONTINENTAL FM,CONTINENTAL FM,17/10/1997,S/.,368.254779,4.98%,10.32%,0.56%,-4.86%,3.47%,6.27%,"234,067,426.49",0.51%,"6,566.00",1.35%,31/10/2024
22 - Inst. Deuda Mediano Plazo S/,CC CONSERV. MED. PLAZO S/. CREDIFONDO SAF,CREDIFONDO SAF,9/3/07,S/.,205.378372,6.16%,9.17%,0.23%,-3.43%,4.67%,6.19%,"456,511,696.50",0.99%,"5,262.00",1.08%,31/10/2024
22 - Inst. Deuda Mediano Plazo S/,IF MEDIANO PLAZO SOLES INTERFONDO,INTERFONDO,14/03/2002,S/.,215.4599,5.42%,9.26%,-6.75%,-3.86%,2.83%,4.92%,"64,528,043.50",0.14%,"3,450.00",0.71%,31/10/2024
22 - Inst. Deuda Mediano Plazo S/,SURA RENTA SOLES FONDOS SURA SAF,FONDOS SURA SAF,19/05/2006,S/.,221.7949863,5.20%,7.86%,1.32%,-2.56%,4.94%,5.69%,"109,091,620.77",0.24%,828,0.17%,31/10/2024
23 - Inst. Deuda Mediano Plazo $,BBVA RENTA MED. PLAZO $ CONTINENTAL FM,CONTINENTAL FM,21/10/1997,$,205.8523023,4.78%,6.07%,-3.66%,-2.68%,2.57%,5.65%,"288,569,228.94",0.63%,"2,312.00",0.47%,31/10/2024
