Tipo Fondo,Fondo Mutuo,Administradora,Fec. Inicio Operación,Moneda Cuota,Valor Cuota,Rentabilidad 2024,Rentabilidad 2023,Rentabilidad 2022,Rentabilidad 2021,Rentabilidad 2020,Rentabilidad 2019,Rentabilidad 2018,Rentabilidad 2017,Rentabilidad 2016,Rentabilidad 2015,Rentabilidad 2014,Standard Dev,Return Lowest,Return Highest,Avg Return Arithmetic,Patrimonio S/.,Partícipes N
Flexible,INTERFONDO-IF OPORTUNIDAD SOLES SERIE C,INTERFONDO,16/11/2012,S/.,144.61,,,,,,,,,,,,#DIV/0!,0.0000,0.0000,#DIV/0!,,75
Flexible,IF Portafolio Dinámico INTERFONDO,INTERFONDO,28/12/2017,$,71.54,0.0205,0.0504,0.0282,0.0217,0.0592,0.0688,0.1158,0.0007,,,,0.03624172566,0.0007,0.1158,0.0457,86104540.3,488
Flexible,IF Portafolio Dinamico Soles INTERFONDO,INTERFONDO,5/5/21,S/.,0,,-1,0.1022,0.0998,,,,,,,,0.6356637791,-1.0000,0.1022,-0.2660,428574973.5,3533
Flexible,INTERFONDO-IF Portafolio Dinamico Soles SERIE A,INTERFONDO,5/5/21,S/.,133.73,0.0274,,,,,,,,,,,#DIV/0!,0.0274,0.0274,0.0274,,3479
Flexible,INTERFONDO-IF Portafolio Dinamico Soles SERIE B,INTERFONDO,5/5/21,S/.,134.14,0.0298,,,,,,,,,,,#DIV/0!,0.0298,0.0298,0.0298,,54
Flexible,INDEPENDIENTE PMG INDEPENDIENTE SAF,INDEPENDIENTE SAF,31/12/2020,$,107.58,0.0428,0.0829,-0.0881,0.0472,-0.0028,,,,,,,0.06587249046,-0.0881,0.0829,0.0164,52449627.44,955
Flexible,SCOTIA DEPÓSITO DISPONIBLE S/. SCOTIA FONDOS,SCOTIA FONDOS,16/08/2011,S/.,12.31,0.0379,-0.1296,0.0109,0.0089,0.0196,0.0294,0.0268,0.0382,0.042,0.0337,0.0304,0.04866598588,-0.1296,0.0420,0.0135,61404110.36,8312
Flexible,SCOTIA FONDO CASH $ SCOTIA FONDOS,SCOTIA FONDOS,7/3/01,$,16.17,0.0242,-0.031,-0.0186,0.0094,0.0135,0.0289,0.0157,0.0146,0.0099,0.0048,0.0026,0.017572882,-0.0310,0.0289,0.0067,66840621.79,2078
Flexible,SCOTIA FONDO CASH S/. SCOTIA FONDOS,SCOTIA FONDOS,21/06/2001,S/.,20.65,0.0256,-0.0619,-0.0177,-0.0054,0.0358,0.0396,0.0269,0.0438,0.0462,0.0351,0.0348,0.0334063848,-0.0619,0.0462,0.0184,61040534.4,5515
Flexible,SCOTIA FONDO PREMIUM $ SCOTIA FONDOS,SCOTIA FONDOS,2/7/96,$,20.38,0.0143,0.0339,-0.2472,-0.0048,0.0528,0.0494,0.0037,0.0228,0.017,-0.0066,0.0116,0.08273880699,-0.2472,0.0528,-0.0048,40478822.19,1768
